Date,Patients in intensive care,Cumulative deceased
2020-03-14,,1
2020-03-15,,1
2020-03-16,,1
2020-03-17,,2
2020-03-18,6,3
2020-03-19,11,6
2020-03-20,16,6
2020-03-21,20,7
2020-03-22,23,10
2020-03-23,30,14
2020-03-24,42,16
2020-03-25,52,22
2020-03-26,57,25
2020-03-27,72,33
2020-03-28,81,40
2020-03-29,95,41
2020-03-30,108,47
2020-03-31,135,69
2020-04-01,147,97
2020-04-02,162,126
2020-04-03,176,172
2020-04-04,192,218
2020-04-05,197,220
2020-04-06,199,222
2020-04-07,199,296
2020-04-08,210,366
2020-04-09,212,447
2020-04-10,207,495
2020-04-11,212,542
2020-04-12,221,566
2020-04-13,211,575
2020-04-14,196,615
2020-04-15,195,699
2020-04-16,196,779
2020-04-17,189,837
2020-04-18,182,893
2020-04-19,174,903
2020-04-20,169,915
2020-04-21,166,985
2020-04-22,155,1062
2020-04-23,148,1120
2020-04-24,141,1184
2020-04-25,140,1231
2020-04-26,133,1249
2020-04-27,134,1262
2020-04-28,126,1332
2020-04-29,,1415
2020-04-30,,1475
2020-05-01,,1515
2020-05-02,,1559
2020-05-03,,1571
2020-05-04,,1576
2020-05-05,,1620
2020-05-06,,1703
2020-05-07,,1762
2020-05-08,,1811
2020-05-09,,1847
2020-05-10,,1857
2020-05-11,,1862
2020-05-12,,1912
2020-05-13,,1973
2020-05-14,,2007
2020-05-15,,2053
2020-05-16,,2094
2020-05-17,,2103
2020-05-18,,2105
2020-05-19,,2134
2020-05-20,,2184
2020-05-21,,2221
2020-05-22,,2245
2020-05-23,,2261
2020-05-24,,2270
2020-05-25,,2273
2020-05-26,,2291
2020-05-27,,2304
2020-05-28,,2316
2020-05-29,,2331
2020-05-30,,2353
2020-05-31,,2362
2020-06-01,,2363
2020-06-02,,2375
2020-06-03,,2386
2020-06-04,,2395
2020-06-05,,2409
2020-06-06,,2415
2020-06-07,,2415
2020-06-08,,2415
2020-06-09,,2422
2020-06-10,,2434
2020-06-11,,2439
2020-06-12,,2442
2020-06-13,,2447
2020-06-14,,2448
2020-06-15,,2448
2020-06-16,,2453
2020-06-17,,2462
2020-06-18,,2464
2020-06-19,,2470
2020-06-20,,2472
2020-06-21,,2472
2020-06-22,,2472
2020-06-23,,2476
2020-06-24,,2480
2020-06-25,,2482
2020-06-26,,2482
2020-06-27,,2482
2020-06-28,,2482
2020-06-29,,2482
2020-06-30,,2485
2020-07-01,,2486
2020-07-02,,2487
2020-07-03,,2488
2020-07-04,,2488
2020-07-05,,2488
2020-07-06,,2488
2020-07-07,,2489
2020-07-08,,2490
2020-07-09,,2490
2020-07-10,,2490
2020-07-11,,2490
2020-07-12,,2490
2020-07-13,,2490
2020-07-14,,2490
2020-07-15,,2490
2020-07-16,,2491
2020-07-17,,2491
2020-07-18,,2491
2020-07-19,,2491
2020-07-20,,2491
2020-07-21,,2491
2020-07-22,,2491
2020-07-23,,2491
2020-07-24,,2491
2020-07-25,,2491
2020-07-26,,2491
2020-07-27,,2491
2020-07-28,,2491
2020-07-29,,2491
2020-07-30,,2491
2020-07-31,,2491
2020-08-01,,2491
2020-08-02,,2491
2020-08-03,,2491
2020-08-04,,2491
2020-08-05,,2491
2020-08-06,,2491
2020-08-07,,2491
2020-08-08,,2491
2020-08-09,,2491
2020-08-10,,2491
2020-08-11,,2491
2020-08-12,,2491
2020-08-13,,2491
2020-08-14,,2491
2020-08-15,,2491
2020-08-16,,2491
2020-08-17,,2491
2020-08-18,,2491
2020-08-19,,2492
2020-08-20,,2492
2020-08-21,,2492
2020-08-22,,2492
2020-08-23,,2492
2020-08-24,,2492
2020-08-25,,2492
2020-08-26,,2494
2020-08-27,,2494
2020-08-28,,2494
2020-08-29,,2494
2020-08-30,,2494
2020-08-31,,2494
2020-09-01,,2494
2020-09-02,,2495
2020-09-03,,2496
2020-09-04,,2496
2020-09-05,,2496
2020-09-06,,2496
2020-09-07,,2496
2020-09-08,,2499
2020-09-09,,2499
2020-09-10,,2499
2020-09-11,2020,2499
2020-09-12,,2499
2020-09-13,2020,2499
2020-09-14,,2499
2020-09-15,2020,2500
2020-09-16,,2501
2020-09-17,2020,2501
2020-09-18,,2502
2020-09-19,2020,2505
2020-09-20,,2505
2020-09-21,2020,2505
2020-09-22,,2506
2020-09-23,5,2508
2020-09-24,2020,2510
2020-09-25,,2511
